bus_line_id,driver_name,bus_color,bus_start_time,bus_end_time,bus_built_date,bus_route,bus_price(R$),bus_integrity,bus_company,bus_capacity
1,Aguistin Seivwright,#a01e15,1:18 PM,9:36 PM,2007-01-27,Flamengo-Copacabana,1401234.56,0.8,"Zulauf, King and Schowalter",38
2,Tedd Ailsbury,#35f91e,4:41 PM,2:51 PM,2013-05-03,Jardim Botânico-Flamengo,701234.56,0.62,"Leuschke, Zieme and Rippin",42
3,Orren Layus,#662b1d,3:30 AM,10:38 AM,2002-07-07,Leblon-Botafogo,590123.45,0.99,"Oberbrunner, Padberg and Dickinson",42
4,Cornie Rippingall,#5ec957,4:51 AM,11:01 PM,2011-07-21,Botafogo-Leme,1234567.89,0.99,Lindgren-O'Keefe,49
5,Corrianne Widdowson,#5a32b2,5:10 AM,1:35 PM,2015-12-07,rota não atribuída,623456.78,0.99,Zieme LLC,36
6,Nadiya Emblen,#c8867c,9:12 AM,8:56 PM,2009-03-23,São Conrado-Largo do Machado,889012.34,0.57,Hagenes-Kshlerin,30
7,Jerrylee Wakelin,#85bd09,5:25 AM,12:22 PM,2022-10-09,Centro-Leme,1490123.45,0.68,Grant and Sons,33
8,Carmen Hattoe,#89ea69,10:38 AM,1:52 PM,2015-04-06,Botafogo-Leme,1212345.67,0.815,"Fadel, Gislason and Emmerich",33
9,Claude Gypps,#559db9,11:43 AM,6:46 PM,2019-02-15,Gávea-Lapa,634567.89,0.95,"Boyle, Rath and Lueilwitz",60
10,Gerardo O'Loinn,#0add48,12:00 AM,9:41 AM,2014-04-15,Lapa-Leblon,712345.67,0.99,"Hilll, Schmitt and Mills",36
11,motorista não atribuído,#5717f1,12:45 AM,8:51 PM,2022-10-16,Gávea-Botafogo,678901.23,0.68,Barton-Graham,39
12,Kacey Hencke,#21d3ec,3:19 AM,6:57 PM,2005-03-24,Urca-Largo do Machado,1389012.34,0.51,McGlynn-O'Reilly,32
13,Betteann Robeiro,#43aef9,6:33 AM,3:02 PM,2022-06-24,rota não atribuída,812345.67,0.63,Osinski Group,54
14,Patti Dowson,#497dae,2:45 AM,11:06 AM,2005-11-10,São Conrado-Glória,912345.67,0.9,Will-Huel,42
15,Chevy Float,#348720,4:44 PM,12:36 PM,2012-01-04,Urca-Lapa,556789.01,0.73,Haag-Marks,47
16,Wyatt Siviour,#6784c3,1:04 PM,11:10 PM,2017-12-13,rota não atribuída,889012.34,0.6799999999999999,"Schneider, Treutel and Raynor",48
17,Wiley Depport,#1d5183,12:49 AM,9:16 PM,2005-01-29,Centro-Leme,1223456.78,0.63,Johnson-Turcotte,56
18,Brena Ripsher,#660388,10:27 AM,11:29 AM,2005-02-17,Botafogo-Leme,667890.12,0.57,Mosciski-Kutch,49
19,Lawrence Janny,#c43bb2,3:25 AM,8:10 PM,2014-06-06,rota não atribuída,1201234.56,0.62,Gusikowski-Botsford,55
20,Kaine MacKnocker,#374f22,2:04 PM,7:49 AM,2005-01-25,Jardim Oceânico-Leme,1445678.9,0.655,Yost LLC,39
21,Chan D'Abbot-Doyle,#eb15de,9:00 AM,11:40 PM,2017-08-28,Copacabana-Ipanema,1412345.67,0.69,Kilback-Langworth,37
22,Krystyna D'Arrigo,#8bb68f,4:17 AM,4:07 PM,2022-06-14,Jardim Botânico-Ipanema,1278901.23,0.84,Schuppe Group,33
23,motorista não atribuído,#038512,12:57 AM,7:12 PM,2017-07-30,Botafogo-Centro,701234.56,0.69,Parker-Rohan,40
24,Hammad Barker,#ea31c4,12:20 AM,8:48 PM,2009-03-04,Urca-Lapa,1412345.67,0.71,Zulauf and Sons,49
25,motorista não atribuído,#146dcd,5:28 AM,12:32 PM,2023-01-12,Ipanema-Centro,1390123.45,0.73,Dooley-Cormier,33
26,Marianna Guiraud,#329fe8,2:09 PM,11:09 AM,2018-05-19,Centro-Leme,1167890.12,0.58,"Armstrong, Thompson and Trantow",50
27,Kirby Dybell,#c6781d,2:56 AM,7:12 PM,2004-09-28,Lapa-Jardim Oceânico,1278901.23,0.73,"Hane, Steuber and Barton",46
28,Weber Barrasse,#28388b,7:31 AM,8:55 PM,2013-11-18,Barra da Tijuca-Leblon,1301234.56,0.52,Kovacek Inc,54
29,Guillemette Irons,#900a08,8:22 AM,7:52 PM,2020-09-25,Jardim Oceânico-Copacabana,645678.9,0.79,Bechtelar-Hauck,47
30,Zitella Mousdall,#3b0c8e,3:24 PM,9:08 PM,2021-01-20,Ipanema-Centro,1278901.23,0.73,Johnson and Sons,49
31,Gregorius Van Driel,#3ac549,8:35 AM,9:10 PM,2014-05-05,Barra da Tijuca-Centro,934567.89,0.9,Keebler-Gutmann,30
32,Layla Gristhwaite,#af11be,1:42 PM,10:59 PM,2014-04-29,São Conrado-Largo do Machado,556789.01,0.73,"Labadie, Sipes and Gislason",34
33,Deina Gouldeby,#e78d4a,8:26 AM,7:34 AM,2012-07-29,Botafogo-Centro,1445678.9,0.9,Raynor-Leannon,34
34,Kort Kirkman,#fed655,5:21 AM,7:29 PM,2010-01-21,Ipanema-Gávea,523456.78,0.62,Borer-Krajcik,51
35,Ali Harrhy,#123417,6:21 AM,9:35 PM,2018-05-29,Lapa-Copacabana,1389012.34,0.63,"Daugherty, Wuckert and Hirthe",41
36,Cynthea Maro,#2734ae,4:56 AM,7:19 AM,2011-06-15,Jardim Botânico-Leblon,1490123.45,0.52,Marvin-Nolan,33
37,Ellis O' Liddy,#deaad4,4:38 PM,7:45 PM,2017-07-03,Jardim Oceânico-Lapa,845678.9,0.99,"Schaden, Kautzer and Bailey",33
38,Bentley Ricardin,#bbe261,4:23 PM,7:47 PM,2004-09-06,Barra da Tijuca-Leblon,734567.89,0.58,O'Kon-Hyatt,34
39,Jillian Toman,#cd13b1,2:11 AM,12:39 PM,2016-01-24,Leblon-Botafogo,601234.56,0.84,Bosco-Keebler,46
40,Marv Vaszoly,#3803de,7:04 AM,7:54 AM,2006-05-28,Barra da Tijuca-Jardim Botânico,1490123.45,0.8,Kshlerin and Sons,35
41,Lizzy Niblo,#ef344f,5:12 AM,1:45 PM,2022-08-31,Urca-Lapa,967890.12,0.84,Heathcote-Bashirian,53
42,motorista não atribuído,#05c5b0,9:42 AM,6:58 PM,2013-02-12,São Conrado-Jardim Botânico,912345.67,0.73,"Abshire, Moore and Herzog",58
43,Alexei Odam,#0fe99f,4:55 AM,5:41 PM,2015-05-26,Flamengo-São Conrado,923456.78,0.74,Larson Group,39
44,Lula Raddon,#1c81d6,3:28 PM,11:22 PM,2018-02-14,Largo do Machado-Barra da Tijuca,1367890.12,0.68,Ritchie LLC,43
45,Roxie Garrigan,#78e7d0,7:27 AM,12:44 PM,2017-04-25,rota não atribuída,956789.01,0.58,Jacobs Group,37
46,Kathye Prozescky,#5b387a,1:31 PM,8:28 PM,2004-05-05,Flamengo-Copacabana,889012.34,0.95,"Crona, Blick and Reichel",57
47,Chaddie Maffey,#3afce9,11:57 AM,5:06 PM,2008-07-29,rota não atribuída,1089012.34,0.95,"Glover, Kris and Weber",41
48,Rutger Clarricoates,#8eb7f9,3:52 AM,10:13 PM,2020-03-09,Glória-Leme,1267890.12,0.8966666666666666,"Brekke, Fay and Cummerata",30
49,Angelique Annice,#e060a7,4:32 PM,9:10 AM,2003-12-09,Flamengo-São Conrado,1156789.01,0.8433333333333334,"Beatty, Deckow and Bartoletti",42
50,Britta Campione,#efa926,2:47 PM,10:31 PM,2003-11-05,Ipanema-Jardim Botânico,1378901.23,0.79,Romaguera-Kertzmann,57
51,Ediva Pidgley,#2b7257,2:54 PM,7:35 PM,2019-10-10,Copacabana-Lapa,1478901.23,0.52,Mann-Kulas,59
52,Gordie Scolding,#efd37c,2:52 PM,10:30 AM,2009-04-10,rota não atribuída,645678.9,0.52,Altenwerth-Mohr,48
53,Fulvia Durnall,#133f59,12:21 PM,8:37 PM,2020-10-12,rota não atribuída,1090123.45,0.58,"Dach, Turcotte and Koch",45
54,Maurise Dixsee,#6100de,1:34 AM,7:16 AM,2004-03-19,Flamengo-Copacabana,801234.56,0.74,"Davis, Paucek and Miller",56
55,Hurley Skase,#c36617,2:26 AM,5:11 PM,2014-12-11,rota não atribuída,1089012.34,0.73,Abshire Inc,49
56,Shellie Routham,#0ddf8c,11:45 AM,6:08 PM,2014-12-28,Copacabana-Barra da Tijuca,767890.12,0.52,"Williamson, Fadel and Cassin",48
57,Kelly Semple,#7b2efc,11:16 AM,11:32 PM,2022-04-22,rota não atribuída,1234567.89,0.63,"Schneider, Bernier and Harris",47
58,Jesselyn Theze,#20d853,11:57 AM,5:41 PM,2011-06-12,Urca-Largo do Machado,978901.23,0.68,Kihn-Wunsch,36
59,Tobe MacGiany,#90ed9a,12:59 AM,3:08 PM,2005-06-30,Jardim Botânico-Flamengo,1267890.12,0.99,"Prohaska, Morar and O'Kon",42
60,Mathian Extal,#2e0752,3:06 AM,1:46 PM,2012-02-03,Ipanema-Jardim Botânico,667890.12,0.58,"Murray, Russel and Wyman",36
61,Sarena MacCosty,#4226ce,2:06 PM,6:26 AM,2021-09-04,Flamengo-Copacabana,701234.56,0.79,Herzog-Abbott,45
62,Agnesse Clint,#6d6763,12:30 PM,8:57 AM,2018-12-14,Jardim Oceânico-Copacabana,1467890.12,0.52,Barrows LLC,39
63,Willy Shapland,#beee5f,10:52 AM,2:01 PM,2008-07-24,rota não atribuída,523456.78,0.8,"Auer, Champlin and Jast",42
64,Vick Whitcomb,#b32fab,6:43 AM,5:42 PM,2009-08-27,Barra da Tijuca-Leblon,1189012.34,0.74,Bins-Jenkins,58
65,Keir Treneer,#64be82,5:57 AM,3:07 PM,2012-04-15,Jardim Botânico-Leblon,1412345.67,0.69,Bernhard Inc,59
66,Jasper Timmes,#d56b82,2:33 AM,9:33 PM,2020-12-15,São Conrado-Urca,756789.01,0.51,Armstrong-Roob,43
67,Lissie Beeton,#1b7718,12:53 AM,1:24 PM,2020-02-06,Lapa-Leblon,756789.01,0.9,Mraz-Glover,39
68,Jesse Mordie,#864af2,2:33 AM,6:26 PM,2018-10-24,Urca-Leblon,701234.56,0.52,Blick and Sons,54
69,Desiree Chaman,#06e0b3,8:39 AM,8:10 AM,2010-11-25,Gávea-Botafogo,1256789.01,0.69,Miller Inc,35
70,motorista não atribuído,#f3998c,4:07 AM,10:22 PM,2016-06-12,Barra da Tijuca-Leblon,1334567.89,0.62,"Murray, Barton and Wolf",38
71,Jarrid Dows,#58bf92,3:50 AM,11:08 AM,2003-06-06,São Conrado-Jardim Botânico,745678.9,0.69,Turner Group,59
72,Claudell Dyster,#43cdc8,10:04 AM,6:44 PM,2006-05-11,Barra da Tijuca-Leblon,1001234.56,0.69,Wiza Group,45
73,Hazel Dodgshon,#2d5b06,8:10 AM,11:18 PM,2003-08-06,rota não atribuída,967890.12,0.8,"Paucek, Marquardt and Schaden",31
74,Gayla Lammie,#f42e5e,1:06 AM,12:26 PM,2018-08-21,Barra da Tijuca-Centro,923456.78,0.58,Nolan LLC,52
75,Quinn Whitnell,#f48e07,1:54 AM,10:18 PM,2019-04-04,Jardim Botânico-Leblon,534567.89,0.57,Cruickshank-Fay,39
76,Torie Garmanson,#ee001e,4:57 AM,7:07 PM,2012-11-11,Flamengo-São Conrado,512345.67,0.9,Buckridge Inc,42
77,motorista não atribuído,#889e66,4:17 PM,9:55 AM,2006-06-12,Centro-Jardim Botânico,834567.89,0.51,Wolf-Farrell,58
78,Sayres Ralling,#0946a2,1:55 PM,1:19 PM,2017-03-21,Ipanema-Centro,1301234.56,0.84,King Group,57
79,Wilow Tuppeny,#187f63,2:07 AM,4:52 PM,2017-05-22,São Conrado-Largo do Machado,1212345.67,0.69,"Toy, Toy and Harber",38
80,motorista não atribuído,#18bff9,8:09 AM,6:33 PM,2008-10-28,Largo do Machado-Barra da Tijuca,1334567.89,0.52,Cassin Group,30
81,Celine Wankling,#0276bb,11:55 AM,6:13 PM,2012-10-08,Lapa-Leblon,556789.01,0.9,Heaney Inc,60
82,Brunhilde Peer,#7db70c,1:51 PM,4:06 PM,2004-04-29,Leme-São Conrado,989012.34,0.95,Cummerata Inc,44
83,Jamesy Mansford,#44343e,3:11 PM,6:08 PM,2002-12-17,Lapa-Gávea,923456.78,0.69,"Braun, Considine and Johnston",57
84,Bartholomeo Boulsher,#e4f29b,4:56 PM,8:14 AM,2017-06-25,Centro-Leme,1067890.12,0.74,Abshire-Rosenbaum,31
85,Rafael Vowden,#8fbb9e,8:57 AM,4:10 PM,2005-05-15,Leme-Gávea,1423456.78,0.79,DuBuque Group,40
86,Robinet Cosker,#d2cc49,6:18 AM,2:07 PM,2021-03-23,Flamengo-Copacabana,1056789.01,0.79,Hoppe and Sons,33
87,Thatch Gleadle,#60a33b,3:12 PM,5:37 PM,2013-12-03,Jardim Botânico-Flamengo,1445678.9,0.99,Moen-Weimann,43
